Plot,Line,Tag,DIS,LOC,POM,DTN,DGH,DBH,Morpho,Main Stem,Notes
SW,2,1252,47.8,RR,,,1.2,,,,BESIDE 1230
SW,3,1253,0.9,C,,,1.1,,,,
SW,3,1254,0,RR,,,1.4,,,,
SW,3,1255,1,C,,,1.9,,,,
SW,3,1256,0.8,C,,,1.6,,,,
SW,3,1257,1.6,L,,,1.2,,,,
SW,3,1258,2.5,RR,,,1.1,,,,
SW,3,1259,0.7,L,,,1.6,,,,
SW,3,1261,2,L,,,1,,,,
SW,3,1260,2.5,RR,,,1.2,,,,
SW,3,1262,2,L,,,1,,,,
SW,3,1263,3.6,R,,,2.3,,,,
SW,3,1264,3.8,C,,,1.2,,LIANA,,
SW,3,1265,3,L,,,1.2,,,,
SW,3,1266,4.8,L,,,1,,,,
SW,3,1268,4.7,L,,,1,,,,
SW,3,1267,5.8,C,,,3,,,,
SW,3,1270,5.5,L,,,,8.3,,,
SW,3,1269,6,C,,,2,,CAPPARIS,,
SW,3,1271,6.4,C,,,1.5,,,,
SW,3,1272,1.4,L,,,1.2,,,,
SW,3,1275,6.8,RR,,,1.5,,CAPPARIS,,
SW,3,1273,3.1,LL,,,1.7,,,,
SW,3,1277,3.6,L,,,3.3,,,,
SW,3,1274,8,RR,,,1,,LIANA,,
SW,3,1278,4.3,L,,,1.5,,,,
SW,3,1276,9.2,R,,,1,,,,
SW,3,1279,5,L,,,2.5,,,,
SW,3,1283,9,L,,,1,,,,
SW,3,1280,5,L,,,2.3,,,,
SW,3,1285,10,C,1.25,,,3.2,,MAIN TRUNK,
SW,3,1284,10,C,1.2,,,2.8,,STEM OF 1285,
SW,3,1281,6,LL,,,,24.5,,MAIN STEM,
SW,3,1282,6,LL,,,,7.7,,STEM OF 1282,
SW,3,1287,9.4,C,,,1.5,,LIANA,,
SW,3,1288,6,L,,,,12.7,,,
SW,3,1286,10.6,L,,,2.2,,,,
SW,3,1289,6.9,LL,,,1.3,,,,
SW,3,1290,8.6,C,,,1,,,,
SW,3,1292,1,L,,,1.2,,,,
SW,3,1291,12,LL,,,1.2,,,,
SW,3,1293,7.5,C,,,2.8,,,,
SW,3,1295,12,RR,,,1,,LIANA,,
SW,3,1294,8.2,L,,,2.5,,,,
SW,3,1296,12,RR,,,1.3,,,,
SW,3,1297,12,L,,,1.4,,,,
SW,3,1301,9.2,C,,,1,,,,
SW,3,1298,12.5,LL,,,1.2,,,,
SW,3,1302,12.9,RR,,,3.3,,,,
SW,3,1299,13.5,L,,,8.5,,,,
SW,3,1300,14,L,,,,7,,,
SW,3,1303,13,R,,,1,,,,
SW,3,1305,14.5,R,,,,2.6,,,
SW,3,1306,15.3,L,,,1.2,,,,
SW,3,1307,15,C,,,1,,,,
SW,3,1308,15.6,RR,,,2.1,,,,
SW,3,1309,16.3,L,,,,2.2,,,
SW,3,1304,16.7,LL,,,1.4,,,,
SW,3,1313,6.6,C,,,1,,,STEM OF 1271,
SW,3,1314,6.6,C,,,1.3,,,STEM OF 1271,
SW,3,1312,17.7,C,,,1,,,,
SW,3,1310,17.2,L,,,1.1,,,,
SW,3,1311,17.4,C,,,,3.4,,,
SW,3,1315,18.1,LL,,,1,,,,
SW,3,1316,18.2,L,,,,1.1,,,
SW,3,1320,19.3,L,,,2,,LIANA,,
SW,3,1321,19.7,R,,,1,,,,
SW,3,1317,19.5,L,,,1,,,,
SW,3,1322,21,R,,,,19.9,,,
SW,3,1318,20.7,C,,,,3.1,,MAIN STEM,
SW,3,1319,20.7,C,,,,2.5,,STEM OF 1318,
SW,3,1325,20.7,C,,,,1,,STEM OF 1318,
SW,3,1323,21.2,R,,,2.5,,,,
SW,3,1324,22,R,,,,4.7,,,
SW,3,1328,21.8,L,,,,6,,,
SW,3,1326,20.7,C,,,,2.4,,STEM OF 1318,
SW,3,1329,22.5,R,,,1,,,,
SW,3,1327,20.7,C,,,,2.1,,STEM OF 1318,
SW,3,1330,22.7,R,,,1.1,,,,
SW,3,1333,20.7,C,,,,1.9,,STEM OF 1318,
SW,3,1334,23.4,C,,,1.1,,,,
SW,3,1332,22.3,LL,,,,2.3,,,
SW,3,1336,24.4,L,,,1.3,,,,
SW,3,1331,25.3,R,,,,2.7,,,
SW,3,1335,28.4,L,,,1.4,,,,
SW,3,1337,27,LL,,,,3.3,,MAIN STEM,
SW,3,1340,27,LL,,,,1.8,,STEM OF 1337,
SW,3,1341,27,LL,,,,2,,STEM OF 1337,
SW,3,1339,28.2,L,,,1.3,,,MAIN STEM,
SW,3,1338,28.2,L,,,1,,,STEM OF 1339,
SW,3,1342,27.3,L,,,1.3,,,,
SW,3,1344,28.5,R,,,2.4,,,,
SW,3,1343,29,C,,,1,,,,
SW,3,1345,29,RR,,,1.2,,,MAIN STEM,
SW,3,1346,29,RR,,,1.4,,,STEM OF 1345,
SW,3,1350,29,RR,,,1.1,,,STEM OF 1345,
SW,3,1347,30.5,L,,,1.1,,,,
SW,3,1348,30.5,C,,,,2,,,
SW,,1349,31.4,C,,,1.7,,,,
SW,3,1352,31.8,RR,,,,1.5,,MAIN STEM,
SW,3,1351,31.8,RR,,,,1.5,,STEM OF 1352,
SW,3,1355,32.3,L,,,1,,,,
SW,3,1353,31.5,R,,,1.1,,,,
SW,3,1356,34,L,,,1,,,,
SW,3,1357,34,C,,,,8,,MAIN STEM,
SW,3,1358,34,C,,,,1.9,,STEM OF 1357,
SW,3,1362,34,C,,,,1,,STEM OF 1357,
SW,3,1364,34,C,,,,1.7,,STEM OF 1357,
SW,3,1360,34.6,RR,,,,2.8,,MAIN STEM,
SW,3,1359,34.6,RR,,,,2.5,,STEM OF 1359,
SW,3,1361,35.4,R,,,,1.4,,,
SW,3,1365,37.6,RR,,,,1.1,,,
SW,3,1363,37.6,C,,,,2.2,,,
SW,3,1371,38,RR,,,,4.8,,,
SW,3,1372,39,RR,,,,1.8,,,
SW,3,1367,38.7,LL,,,,2.8,,,
SW,3,1373,40,RR,,,1.3,,,,
SW,3,1374,40,RR,,,1.9,,,,
SW,3,1366,40.5,LL,,,2.4,,,,
SW,3,1368,39.9,L,,,2.7,,,,
SW,3,1375,41.5,R,,,,10.8,,,
